job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,salary_disclosed,work_mode,company_size_bucket,primary_city,skill_domain,days_since_posted,is_senior,is_fresher_friendly,experience_tier,salary_tier
17454,Business Analyst-Risk,Capco,3.8,Bengaluru,Bangalore,Business Analyst,7-12 Yrs,7.0,12.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17455,Project Management with Business Analysis,Capco,3.8,"Chennai, Bengaluru",Bangalore,Business Analyst,12-17 Yrs,12.0,17.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Chennai,Business Intelligence,21.0,False,False,Lead/Architect (9+ Yrs),Undisclosed
17456,Lead Business Analyst (Oracle EBS Financial Application),Beckman Coulter,3.4,Bengaluru,Bangalore,Business Analyst,9-14 Yrs,9.0,14.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Lead/Architect (9+ Yrs),Undisclosed
17457,Lead Business Analyst - Calypso,Photon,4.1,Bengaluru,Bangalore,Business Analyst,9-14 Yrs,9.0,14.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Lead/Architect (9+ Yrs),Undisclosed
17458,LoanIQ Technical Business Analyst _ Exp:10 + Years,Atyeti,3.7,"Hybrid - Pune, Chennai, Bengaluru",Bangalore,Business Analyst,10-15 Yrs,0.0,0.0,0.0,0.0,0.0,False,Hybrid,Small/Startup (<100),Pune,Business Intelligence,1.0,False,True,Fresher,Undisclosed
17459,Technical Business Analyst (Mobile Banking),Rapsys Tech Solutions,3.6,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17460,Senior Business Analyst (Life Insurance Underwriting),Digit Insurance,3.6,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Senior (6-8 Yrs),Undisclosed
17461,RPA Sr. Business Analyst,RPASoft Solutions Pvt Ltd,3.6,Bengaluru,Bangalore,Business Analyst,3-7 Yrs,3.0,7.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Mid (3-5 Yrs),Undisclosed
17462,Senior Business Analyst - E-commerce,Clean Harbors,3.4,Bengaluru(Hebbal),Bangalore,Business Analyst,6-10 Yrs,6.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,True,False,Senior (6-8 Yrs),Undisclosed
17463,Lead - IT Business Analyst,Prudential Corporation Asia,3.6,Bengaluru,Bangalore,Business Analyst,8-13 Yrs,8.0,13.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Senior (6-8 Yrs),Undisclosed
